epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3616.55,0.51724,0.32266,0.91039,0.99421,0.99593,0.99496,0.90293,0.46365,0.25287,0.85089,0.0008318,0.0008318,0.0008318
61,3675.25,0.51555,0.31959,0.9094,0.99469,0.99033,0.99498,0.89903,0.4712,0.24751,0.84939,0.000812,0.000812,0.000812
62,3733.97,0.50711,0.31598,0.90577,0.99209,0.9942,0.9949,0.9045,0.46188,0.24768,0.84915,0.0007922,0.0007922,0.0007922
63,3792.79,0.50109,0.31038,0.9043,0.99401,0.9942,0.9949,0.8982,0.46451,0.2502,0.85099,0.0007724,0.0007724,0.0007724
64,3851.22,0.50089,0.31515,0.90327,0.98953,0.9942,0.99426,0.90431,0.45857,0.2488,0.85058,0.0007526,0.0007526,0.0007526
65,3910.03,0.51077,0.31318,0.90595,0.98656,0.99807,0.99477,0.90316,0.45372,0.25214,0.84889,0.0007328,0.0007328,0.0007328
66,3968.96,0.49445,0.31127,0.90258,0.99003,0.9942,0.99486,0.90559,0.45595,0.241,0.85335,0.000713,0.000713,0.000713
67,4028.05,0.50054,0.31969,0.90049,0.99116,0.9942,0.99478,0.90695,0.45386,0.24475,0.84937,0.0006932,0.0006932,0.0006932
68,4087.01,0.4888,0.30517,0.90459,0.99211,1,0.99475,0.90381,0.45512,0.23821,0.84726,0.0006734,0.0006734,0.0006734
69,4146.27,0.48098,0.29431,0.89339,0.99209,1,0.99498,0.90593,0.4423,0.23381,0.84272,0.0006536,0.0006536,0.0006536
70,4205.04,0.49405,0.30651,0.89721,0.9908,0.99807,0.9949,0.91102,0.44281,0.24397,0.84358,0.0006338,0.0006338,0.0006338
71,4264.37,0.47236,0.29914,0.89524,0.99119,0.99807,0.99488,0.90623,0.44948,0.23431,0.8491,0.000614,0.000614,0.000614
72,4322.86,0.47739,0.29035,0.89722,0.99165,1,0.99498,0.90356,0.45259,0.24084,0.85157,0.0005942,0.0005942,0.0005942
73,4381.46,0.47753,0.29596,0.9069,0.99036,1,0.99484,0.91127,0.44731,0.23859,0.84701,0.0005744,0.0005744,0.0005744
